year,gdp_per_capita_usd
2024,10310.54888
2023,10377.58977
2022,9281.332821
2021,7972.536961
2020,7074.194075
2019,9029.833044
2018,9300.660729
2017,10080.50787
2016,8836.28546
2015,8936.195589
